Latitude,Longitude,Time,Speed,ID
59.349332759,18.058449165,2019-11-08 18:02:51.540068,0.344,000000005e0fc628
59.349332759,18.058449165,2019-11-08 18:02:52.547199,0.172,000000005e0fc628
59.349337707,18.058471325,2019-11-08 18:02:53.554414,0.172,000000005e0fc628
59.349337707,18.058471325,2019-11-08 18:02:54.561732,0.172,000000005e0fc628
59.349337707,18.058471325,2019-11-08 18:02:55.565684,0.123,000000005e0fc628
59.349340101,18.058454613,2019-11-08 18:02:56.572971,0.414,000000005e0fc628
59.349340101,18.058454613,2019-11-08 18:02:57.580770,0.414,000000005e0fc628
59.349354413,18.058443351,2019-11-08 18:02:58.588336,0.414,000000005e0fc628
59.349356807,18.058426639,2019-11-08 18:02:59.595465,0.637,000000005e0fc628
59.349356807,18.058426639,2019-11-08 18:03:00.602884,0.637,000000005e0fc628
59.349356807,18.058426639,2019-11-08 18:03:01.610499,0.494,000000005e0fc628
59.349361595,18.058393217,2019-11-08 18:03:02.618454,0.76,000000005e0fc628
59.349361595,18.058393217,2019-11-08 18:03:03.625662,0.76,000000005e0fc628
59.349378301,18.058365243,2019-11-08 18:03:04.633211,0.918,000000005e0fc628
59.349380695,18.058348531,2019-11-08 18:03:05.640814,0.943,000000005e0fc628
59.349380695,18.058348531,2019-11-08 18:03:06.648511,0.943,000000005e0fc628
59.349395007,18.058337269,2019-11-08 18:03:07.655857,0.565,000000005e0fc628
59.349395007,18.058337269,2019-11-08 18:03:08.663282,0.718,000000005e0fc628
59.349395007,18.058337269,2019-11-08 18:03:09.671023,0.718,000000005e0fc628
59.349404743,18.058326006,2019-11-08 18:03:10.678993,0.586,000000005e0fc628
59.349411713,18.058309295,2019-11-08 18:03:11.686219,0.612,000000005e0fc628
59.349411713,18.058309295,2019-11-08 18:03:12.693389,0.612,000000005e0fc628
59.349421449,18.058298032,2019-11-08 18:03:13.701285,0.514,000000005e0fc628
59.349426025,18.058298032,2019-11-08 18:03:14.709430,0.568,000000005e0fc628
59.349426025,18.058298032,2019-11-08 18:03:15.721086,0.568,000000005e0fc628
59.349435761,18.058286769,2019-11-08 18:03:16.729106,0.43,000000005e0fc628
59.349435761,18.058286769,2019-11-08 18:03:17.733044,0.414,000000005e0fc628
59.349435761,18.058286769,2019-11-08 18:03:18.740877,0.414,000000005e0fc628
59.349450073,18.058275506,2019-11-08 18:03:19.748532,0.918,000000005e0fc628
59.349452467,18.058258795,2019-11-08 18:03:20.755847,0.8,000000005e0fc628
59.349452467,18.058258795,2019-11-08 18:03:21.763174,0.8,000000005e0fc628
59.349459437,18.058242084,2019-11-08 18:03:22.770972,0.682,000000005e0fc628
59.34946678,18.058247532,2019-11-08 18:03:23.778655,0.371,000000005e0fc628
59.34946678,18.058247532,2019-11-08 18:03:24.785966,0.371,000000005e0fc628
59.34946678,18.058247532,2019-11-08 18:03:25.793665,0.612,000000005e0fc628
59.349471356,18.058247532,2019-11-08 18:03:26.801520,0.414,000000005e0fc628
59.349471356,18.058247532,2019-11-08 18:03:27.809072,0.414,000000005e0fc628
59.349471356,18.058247532,2019-11-08 18:03:28.814029,0.247,000000005e0fc628
59.349471356,18.058247532,2019-11-08 18:03:29.819637,0.215,000000005e0fc628
59.349471356,18.058247532,2019-11-08 18:03:30.824032,0.215,000000005e0fc628
59.349468962,18.058264244,2019-11-08 18:03:31.831511,0.294,000000005e0fc628
59.34946162,18.058258795,2019-11-08 18:03:32.835810,0.215,000000005e0fc628
59.34946162,18.058258795,2019-11-08 18:03:33.843168,0.215,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:34.851949,0.306,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:35.856287,0.271,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:36.860761,0.271,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:37.865191,0.271,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:38.872509,0.392,000000005e0fc628
59.349459226,18.058275506,2019-11-08 18:03:39.880089,0.392,000000005e0fc628
59.349463802,18.058275506,2019-11-08 18:03:40.887955,0.514,000000005e0fc628
59.349463802,18.058275506,2019-11-08 18:03:41.895245,0.215,000000005e0fc628
59.349463802,18.058275506,2019-11-08 18:03:42.902697,0.215,000000005e0fc628
59.349461408,18.058292218,2019-11-08 18:03:43.910287,0.247,000000005e0fc628
59.349461408,18.058292218,2019-11-08 18:03:44.917854,0.215,000000005e0fc628
59.349461408,18.058292218,2019-11-08 18:03:45.924965,0.215,000000005e0fc628
59.349463591,18.058308929,2019-11-08 18:03:46.932604,0.157,000000005e0fc628
59.349463591,18.058308929,2019-11-08 18:03:47.936941,0.0,000000005e0fc628
59.349463591,18.058308929,2019-11-08 18:03:48.944050,0.0,000000005e0fc628
59.349461197,18.058325641,2019-11-08 18:03:49.951671,0.109,000000005e0fc628
59.349458803,18.058342352,2019-11-08 18:03:50.959012,0.123,000000005e0fc628
